"coverage","name","issn","ranking","category","update"
"INTERNATIONAL","Environmental Economics and Policy Studies","1432-847X","4","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Integrated Assessment","1389-5176","4","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","International Environmental Agreements: Politics, Law and Economics","1567-9764","4","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","International Journal of Agricultural Resources, Governance and Ecology","1462-4605","4","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","International Journal of Environment and Pollution","0957-4352","4","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","International Journal of Global Energy Issues","0954-7118","4","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","International Journal of Sustainable Development","0960-1406","4","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Journal of Agribusiness","0738-8950","4","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Journal of Agricultural Education and Extension","1389-224X","4","Agricultural, Environmental and Energy Economics","2014"
"INTERNATIONAL","Strategic Management Journal","0143-2095","1","Business Strategy and International Management","2014"
"INTERNATIONAL","Journal of Economics and Management Strategy","1058-6407","1","Business Strategy and International Management","2014"
"INTERNATIONAL","Journal of International Business Studies","0047-2506","1","Business Strategy and International Management","2014"
"INTERNATIONAL","Advances in Strategic Management","0742-3322","2","Business Strategy and International Management","2014"
"INTERNATIONAL","Journal of World Business","1090-9516","2","Business Strategy and International Management","2014"
"INTERNATIONAL","Long Range Planning","0024-6301","2","Business Strategy and International Management","2014"
"INTERNATIONAL","Asia Pacific Business Review","1360-2381","3","Business Strategy and International Management","2014"
"INTERNATIONAL","International Business Review","0969-5931","3","Business Strategy and International Management","2014"
"INTERNATIONAL","Journal of Business Strategy","0275-6668","3","Business Strategy and International Management","2014"
"INTERNATIONAL","Journal of International Management","1075-4253","3","Business Strategy and International Management","2014"
"INTERNATIONAL","Management International","1206-1697","3","Business Strategy and International Management","2014"
"INTERNATIONAL","Management International Review","0025-181X","3","Business Strategy and International Management","2014"
"INTERNATIONAL","Strategic Change","1086-1718","3","Business Strategy and International Management","2014"
"INTERNATIONAL","Strategic Organization","1476-1270","3","Business Strategy and International Management","2014"
"INTERNATIONAL","Technology Analysis and Strategic Management","0953-7325","3","Business Strategy and International Management","2014"
"INTERNATIONAL","Business and Society","1467-8594","4","Business Strategy and International Management","2014"
"INTERNATIONAL","Communications & Strategies","1157-8637","4","Business Strategy and International Management","2014"
"INTERNATIONAL","Critical Perspectives on International Business","1742-2043","4","Business Strategy and International Management","2014"
"INTERNATIONAL","Cross-Cultural Management: An International Journal","1352-7606","4","Business Strategy and International Management","2014"
"INTERNATIONAL","International Journal of Cross Cultural Management","1470-5958","4","Business Strategy and International Management","2014"
"INTERNATIONAL","Journal of Change Management","1469-7017","4","Business Strategy and International Management","2014"
"INTERNATIONAL","Multinational Business Review","1525-383X","4","Business Strategy and International Management","2014"
"INTERNATIONAL","Thunderbird International Business Review","1096-4762","4","Business Strategy and International Management","2014"
"INTERNATIONAL","Economic Development and Cultural Change","0013-0079","1","Development and Transition Economics","2014"
"INTERNATIONAL","Journal of Comparative Economics","0147-5967","1","Development and Transition Economics","2014"
"INTERNATIONAL","Journal of Development Economics","0304-3878","1","Development and Transition Economics","2014"
"INTERNATIONAL","World Bank Economic Review","0258-6770","1","Development and Transition Economics","2014"
"INTERNATIONAL","World Development","0305-750X","1","Development and Transition Economics","2014"
"INTERNATIONAL","China Economic Review","1043-951X","2","Development and Transition Economics","2014"
"INTERNATIONAL","Development and Change","0012-155X","2","Development and Transition Economics","2014"
"INTERNATIONAL","Economics of Transition","0967-0750","2","Development and Transition Economics","2014"
"INTERNATIONAL","Journal of African Economies","0963-8024","2","Development and Transition Economics","2014"
"INTERNATIONAL","Journal of Development Studies","0022-0388","2","Development and Transition Economics","2014"
"INTERNATIONAL","Population and Development Review","0098-7921","2","Development and Transition Economics","2014"
"INTERNATIONAL","Post-Communist Economies","1463-1377","2","Development and Transition Economics","2014"
"INTERNATIONAL","Comparative Economic Studies","0888-7233","3","Development and Transition Economics","2014"
"INTERNATIONAL","Economic Systems","0939-3625","3","Development and Transition Economics","2014"
"INTERNATIONAL","Emerging Markets Review","1566-0141","3","Development and Transition Economics","2014"
"INTERNATIONAL","European Journal of Comparative Economics","1824-2979","3","Development and Transition Economics","2014"
"INTERNATIONAL","Europe-Asia Studies","0966-8136","3","Development and Transition Economics","2014"
"INTERNATIONAL","Journal of International Development","0954-1748","3","Development and Transition Economics","2014"
"INTERNATIONAL","Journal of International Trade and Economic Development","0963-8199","3","Development and Transition Economics","2014"
"INTERNATIONAL","MOCT-MOST Economic Policy in Transitional Economies","1120-7388","3","Development and Transition Economics","2014"
"INTERNATIONAL","Oxford Development Studies","1360-0818","3","Development and Transition Economics","2014"
"INTERNATIONAL","Revue d'Économie du Développement","1245-4060","3","Development and Transition Economics","2014"
"INTERNATIONAL","Third World Quarterly","0143-6597","3","Development and Transition Economics","2014"
"INTERNATIONAL","African Development Review","1017-6772","4","Development and Transition Economics","2014"
"INTERNATIONAL","Asian Development Review","0116-1105","4","Development and Transition Economics","2014"
"INTERNATIONAL","Autrepart","1278-3986","4","Development and Transition Economics","2014"
"INTERNATIONAL","Cepal Review","0251-2920","4","Development and Transition Economics","2014"
"INTERNATIONAL","Economic History of Developing Regions","2078-0389","4","Development and Transition Economics","2014"
"INTERNATIONAL","European Journal of Development Research","0957-8811","4","Development and Transition Economics","2014"
"INTERNATIONAL","Journal of Asian Economics","1049-0078","4","Development and Transition Economics","2014"
"INTERNATIONAL","Journal of Economic Development","0254-8372","4","Development and Transition Economics","2014"
"INTERNATIONAL","Mondes en Développement","0302-3052","4","Development and Transition Economics","2014"
"INTERNATIONAL","Review of African Political Economy","0305-6244","4","Development and Transition Economics","2014"
"INTERNATIONAL","Review of Development Economics","1363-6669","4","Development and Transition Economics","2014"
"INTERNATIONAL","Revue Canadienne d’Études du Développement / Canadian Journal of Development Studies","0225-5189","4","Development and Transition Economics","2014"
"INTERNATIONAL","Revue d'Études Comparatives Est-Ouest","0338-0599","4","Development and Transition Economics","2014"
"INTERNATIONAL","Savings and Development","0393-4551","4","Development and Transition Economics","2014"
"INTERNATIONAL","Econometric Theory","0266-4666","1","Econometrics","2014"
"INTERNATIONAL","Journal of Business and Economic Statistics","0735-0015","1","Econometrics","2014"
"INTERNATIONAL","Journal of Econometrics","0304-4076","1","Econometrics","2014"
"INTERNATIONAL","Econometric Reviews","0747-4938","2","Econometrics","2014"
"INTERNATIONAL","Econometrics Journal","1368-4221","2","Econometrics","2014"
"INTERNATIONAL","Journal of Applied Econometrics","0883-7252","2","Econometrics","2014"
"INTERNATIONAL","Journal of the Royal Statistical Society, Series B-Statistical Methodology","1369-7412","2","Econometrics","2014"
"INTERNATIONAL","Journal of the Royal Statistical Society, Series C-Applied Statistics","0035-9254","3","Econometrics","2014"
"INTERNATIONAL","International Journal of Forecasting","0169-2070","3","Econometrics","2014"
"INTERNATIONAL","Journal of Applied Statistics","0266-4763","3","Econometrics","2014"
"INTERNATIONAL","Journal of Financial Econometrics","1479-8409","3","Econometrics","2014"
"INTERNATIONAL","Journal of Forecasting","0277-6693","3","Econometrics","2014"
"INTERNATIONAL","Journal of Multivariate Analysis","0047-259X","3","Econometrics","2014"
"INTERNATIONAL","Journal of Quantitative Economics","0971-1554","3","Econometrics","2014"
"INTERNATIONAL","Journal of Time Series Analysis","0143-9782","3","Econometrics","2014"
"INTERNATIONAL","Studies in Nonlinear Dynamics and Econometrics","1081-1826","3","Econometrics","2014"
"INTERNATIONAL","Empirical Economics","0377-7332","4","Econometrics","2014"
"INTERNATIONAL","International Review of Applied Economics","0269-2171","4","Econometrics","2014"
"INTERNATIONAL","Economic Theory","0938-2259","1","Economic Theory, Game and Decision Theory and Experimental Economics","2014"
"INTERNATIONAL","Experimental Economics","1386-4157","1","Economic Theory, Game and Decision Theory and Experimental Economics","2014"
"INTERNATIONAL","Games and Economic Behavior","0899-8256","1","Economic Theory, Game and Decision Theory and Experimental Economics","2014"
"INTERNATIONAL","Journal of Mathematical Economics","0304-4068","1","Economic Theory, Game and Decision Theory and Experimental Economics","2014"
"INTERNATIONAL","International Journal of Game Theory","0020-7276","2","Economic Theory, Game and Decision Theory and Experimental Economics","2014"
"INTERNATIONAL","Mathematical Social Sciences","0165-4896","2","Economic Theory, Game and Decision Theory and Experimental Economics","2014"
"INTERNATIONAL","Theoretical Economics","1555-7561","2","Economic Theory, Game and Decision Theory and Experimental Economics","2014"
"INTERNATIONAL","Theory and Decision","0040-5833","2","Economic Theory, Game and Decision Theory and Experimental Economics","2014"
"INTERNATIONAL","The B.E. Journal of Theoretical Economics. Frontiers","1935-1704","2","Economic Theory, Game and Decision Theory and Experimental Economics","2014"
"INTERNATIONAL","American Behavioral Scientist","0002-7642","3","Economic Theory, Game and Decision Theory and Experimental Economics","2014"
"INTERNATIONAL","Computational Economics","0927-7099","3","Economic Theory, Game and Decision Theory and Experimental Economics","2014"
"INTERNATIONAL","Decisions in Economics and Finance","1593-8883","3","Economic Theory, Game and Decision Theory and Experimental Economics","2014"
"INTERNATIONAL","International Game Theory Review","0219-1989","3","Economic Theory, Game and Decision Theory and Experimental Economics","2014"
"INTERNATIONAL","International Journal of Economic Theory","1742-7355","3","Economic Theory, Game and Decision Theory and Experimental Economics","2014"
"INTERNATIONAL","Journal of Applied Behavioral Analysis","0021-8855","3","Economic Theory, Game and Decision Theory and Experimental Economics","2014"
"INTERNATIONAL","Journal of Behavioral Decision Making","0894-3257","3","Economic Theory, Game and Decision Theory and Experimental Economics","2014"
"INTERNATIONAL","Journal of Economic Psychology","0167-4870","3","Economic Theory, Game and Decision Theory and Experimental Economics","2014"
"INTERNATIONAL","Review of Economic Design","1434-4742","3","Economic Theory, Game and Decision Theory and Experimental Economics","2014"
"INTERNATIONAL","The B.E. Journal of Theoretical Economics. Advances","1935-1704","3","Economic Theory, Game and Decision Theory and Experimental Economics","2014"
"INTERNATIONAL","Journal of Economic Interaction and Coordination","1860-7128","4","Economic Theory, Game and Decision Theory and Experimental Economics","2014"
"INTERNATIONAL","Mathématiques et Sciences Humaines","0987-6936","4","Economic Theory, Game and Decision Theory and Experimental Economics","2014"
"INTERNATIONAL","Journal of Finance","0022-1082","1","Finance and Insurance","2014"
"INTERNATIONAL","Journal of Financial and Quantitative Analysis","0022-1090","1","Finance and Insurance","2014"
"INTERNATIONAL","Journal of Financial Economics","0304-405X","1","Finance and Insurance","2014"
"INTERNATIONAL","Review of Finance","1382-6662","1","Finance and Insurance","2014"
"INTERNATIONAL","Review of Financial Studies","0893-9454","1","Finance and Insurance","2014"
"INTERNATIONAL","Finance","0752-6180","2","Finance and Insurance","2014"
"INTERNATIONAL","Financial Management","0046-3892","2","Finance and Insurance","2014"
"INTERNATIONAL","Geneva Risk and Insurance Review","1554-964X","2","Finance and Insurance","2014"
"INTERNATIONAL","Journal of Banking and Finance","0378-4266","2","Finance and Insurance","2014"
"INTERNATIONAL","Journal of Business Finance and Accounting","0306-686X","2","Finance and Insurance","2014"
"INTERNATIONAL","Journal of Corporate Finance: Contracting, Governance and Organization","0929-1199","2","Finance and Insurance","2014"
"INTERNATIONAL","Journal of Financial Intermediation","1042-9573","2","Finance and Insurance","2014"
"INTERNATIONAL","Journal of Risk and Insurance","0022-4367","2","Finance and Insurance","2014"
"INTERNATIONAL","Journal of Risk and Uncertainty","0895-5646","2","Finance and Insurance","2014"
"INTERNATIONAL","Mathematical Finance","0960-1627","2","Finance and Insurance","2014"
"INTERNATIONAL","ASTIN Bulletin","0515-0361","3","Finance and Insurance","2014"
"INTERNATIONAL","Bankers, Markets & Investors (ex-Banque & Marchés)","1167-4946","3","Finance and Insurance","2014"
"INTERNATIONAL","Corporate Governance","0964-8410","3","Finance and Insurance","2014"
"INTERNATIONAL","European Financial Management","1354-7798","3","Finance and Insurance","2014"
"INTERNATIONAL","Finance and Stochastics","0949-2984","3","Finance and Insurance","2014"
"INTERNATIONAL","Finance Research Letters","1544-6123","3","Finance and Insurance","2014"
"INTERNATIONAL","Financial Markets, Institutions and Instruments","0963-8008","3","Finance and Insurance","2014"
"INTERNATIONAL","Geneva Papers on Risk and Insurance: Issues and Practices","1018-5895","3","Finance and Insurance","2014"
"INTERNATIONAL","Insurance: Mathematics and Economics","0167-6687","3","Finance and Insurance","2014"
"INTERNATIONAL","International Journal of Theoretical and Applied Finance","0219-0249","3","Finance and Insurance","2014"
"INTERNATIONAL","International Review of Financial Analysis","1057-5219","3","Finance and Insurance","2014"
"INTERNATIONAL","Journal of Derivatives","1074-1240","3","Finance and Insurance","2014"
"INTERNATIONAL","Journal of Empirical Finance","0927-5398","3","Finance and Insurance","2014"
"INTERNATIONAL","Journal of Financial Markets","1386-4181","3","Finance and Insurance","2014"
"INTERNATIONAL","Journal of Financial Research","0270-2592","3","Finance and Insurance","2014"
"INTERNATIONAL","Journal of Financial Services Research","0920-8550","3","Finance and Insurance","2014"
"INTERNATIONAL","Journal of Fixed Income","1059-8596","3","Finance and Insurance","2014"
"INTERNATIONAL","Journal of Futures Markets","0270-7314","3","Finance and Insurance","2014"
"INTERNATIONAL","Journal of Portfolio Management","0095-4918","3","Finance and Insurance","2014"
"INTERNATIONAL","Journal of Real Estate Finance and Economics","0895-5638","3","Finance and Insurance","2014"
"INTERNATIONAL","Quantitative Finance","1469-7688","3","Finance and Insurance","2014"
"INTERNATIONAL","Quarterly Review of Economics and Finance","1062-9769","3","Finance and Insurance","2014"
"INTERNATIONAL","Real Estate Economics","1080-8620","3","Finance and Insurance","2014"
"INTERNATIONAL","Review of Quantitative Finance and Accounting","0924-865X","3","Finance and Insurance","2014"
"INTERNATIONAL","Annals of Finance","1614-2446","4","Finance and Insurance","2014"
"INTERNATIONAL","Applied Financial Economics","0960-3107","4","Finance and Insurance","2014"
"INTERNATIONAL","Bulletin Français d'Actuariat","1779-7160","4","Finance and Insurance","2014"
"INTERNATIONAL","Financial Review","0732-8516","4","Finance and Insurance","2014"
"INTERNATIONAL","Journal of Asset Management","1470-8272","4","Finance and Insurance","2014"
"INTERNATIONAL","Journal of Multinational Financial Management","1042-444X","4","Finance and Insurance","2014"
"INTERNATIONAL","Managerial Finance","0307-4358","4","Finance and Insurance","2014"
"INTERNATIONAL","Multinational Finance Journal","1096-1879","4","Finance and Insurance","2014"
"INTERNATIONAL","North American Actuarial Journal","1092-0277","4","Finance and Insurance","2014"
"INTERNATIONAL","Pacific Basin Finance Journal","0927-538X","4","Finance and Insurance","2014"
"INTERNATIONAL","Research in International Business and Finance","0275-5319","4","Finance and Insurance","2014"
"INTERNATIONAL","Review of Derivatives Research","1380-6645","4","Finance and Insurance","2014"
"INTERNATIONAL","Review of Financial Economics","1058-3300","4","Finance and Insurance","2014"
"INTERNATIONAL","Revue d'Économie Financière","1777-5744","4","Finance and Insurance","2014"
"INTERNATIONAL","The European Journal of Finance","1351-847X","4","Finance and Insurance","2014"
"INTERNATIONAL","Academy of Management Review","0363-7425","1","General Economics, General Management","2014"
"INTERNATIONAL","American Economic Review","0002-8282","1","General Economics, General Management","2014"
"INTERNATIONAL","Econometrica","0012-9682","1","General Economics, General Management","2014"
"INTERNATIONAL","Journal of Economic Literature","0022-0515","1","General Economics, General Management","2014"
"INTERNATIONAL","Journal of Political Economy","0022-3808","1","General Economics, General Management","2014"
"INTERNATIONAL","Management Science","0025-1909","1","General Economics, General Management","2014"
"INTERNATIONAL","Quarterly Journal of Economics","0033-5533","1","General Economics, General Management","2014"
"INTERNATIONAL","Review of Economic Studies","0034-6527","1","General Economics, General Management","2014"
"INTERNATIONAL","Academy of Management Journal","0001-4273","1","General Economics, General Management","2014"
"INTERNATIONAL","Brookings Papers on Economic Activity","0007-2303","1","General Economics, General Management","2014"
"INTERNATIONAL","Economic Journal","0013-0133","1","General Economics, General Management","2014"
"INTERNATIONAL","European Economic Review","0014-2921","1","General Economics, General Management","2014"
"INTERNATIONAL","International Economic Review","0020-6598","1","General Economics, General Management","2014"
"INTERNATIONAL","Journal of Economic Perspectives","0895-3309","1","General Economics, General Management","2014"
"INTERNATIONAL","Journal of Economic Theory","0022-0531","1","General Economics, General Management","2014"
"INTERNATIONAL","Journal of Management Studies","0022-2380","1","General Economics, General Management","2014"
"INTERNATIONAL","Journal of the European Economic Association","1542-4766","1","General Economics, General Management","2014"
"INTERNATIONAL","Review of Economics and Statistics","0034-6535","1","General Economics, General Management","2014"
"INTERNATIONAL","Annales d'Économie et Statistiques","0769-489X","2","General Economics, General Management","2014"
"INTERNATIONAL","Applied Economics","0003-6846","2","General Economics, General Management","2014"
"INTERNATIONAL","BEJ Economic Analysis & Policy Frontiers","1555-0494","2","General Economics, General Management","2014"
"INTERNATIONAL","British Journal of Management","1045-3172","2","General Economics, General Management","2014"
"INTERNATIONAL","Cambridge Journal of Economics","0309-166X","2","General Economics, General Management","2014"
"INTERNATIONAL","Canadian Journal of Economics / Revue Canadienne d'Économique","0008-4085","2","General Economics, General Management","2014"
"INTERNATIONAL","Economic Inquiry","0095-2583","2","General Economics, General Management","2014"
"INTERNATIONAL","Economic Policy","0266-4658","2","General Economics, General Management","2014"
"INTERNATIONAL","Economica","0013-0427","2","General Economics, General Management","2014"
"INTERNATIONAL","Economy and Society","0308-5147","2","General Economics, General Management","2014"
"INTERNATIONAL","European Management Review","1740-4754","2","General Economics, General Management","2014"
"INTERNATIONAL","International Journal of Management Reviews","1460-8545","2","General Economics, General Management","2014"
"INTERNATIONAL","Journal of Economic Behavior and Organization","0167-2681","2","General Economics, General Management","2014"
"INTERNATIONAL","Journal of Economic Surveys","0950-0804","2","General Economics, General Management","2014"
"INTERNATIONAL","Journal of Institutional and Theoretical Economics","0932-4569","2","General Economics, General Management","2014"
"INTERNATIONAL","Journal of Institutional Economics","1744-1374","2","General Economics, General Management","2014"
"INTERNATIONAL","Journal of Management","0149-2063","2","General Economics, General Management","2014"
"INTERNATIONAL","Journal of Post-Keynesian Economics","0160-3477","2","General Economics, General Management","2014"
"INTERNATIONAL","Kyklos","0023-5962","2","General Economics, General Management","2014"
"INTERNATIONAL","M@na@gement","1286-4892","2","General Economics, General Management","2014"
"INTERNATIONAL","Oxford Bulletin of Economics and Statistics","0305-9049","2","General Economics, General Management","2014"
"INTERNATIONAL","Oxford Economic Papers","0030-7653","2","General Economics, General Management","2014"
"INTERNATIONAL","Review of International Political Economy","0969-2290","2","General Economics, General Management","2014"
"INTERNATIONAL","Scandinavian Journal of Economics","0347-0520","2","General Economics, General Management","2014"
"INTERNATIONAL","Southern Economic Journal","0038-4038","2","General Economics, General Management","2014"
"INTERNATIONAL","Australian Economic Papers","0004-900X","3","General Economics, General Management","2014"
"INTERNATIONAL","BEJ Economic Analysis & Policy Advances","1555-0494","3","General Economics, General Management","2014"
"INTERNATIONAL","Bulletin of Economic Research","0307-3378","3","General Economics, General Management","2014"
"INTERNATIONAL","Competition and Change","1024-5294","3","General Economics, General Management","2014"
"INTERNATIONAL","Corporate Governance","0964-8410","3","General Economics, General Management","2014"
"INTERNATIONAL","De Economist","0013-063X","3","General Economics, General Management","2014"
"INTERNATIONAL","Health Economics","1057-9230","1","Health Economics and Management","2014"
"INTERNATIONAL","Journal of Health Economics","0167-6296","1","Health Economics and Management","2014"
"INTERNATIONAL","Medical Care","0025-7079","1","Health Economics and Management","2014"
"INTERNATIONAL","Social Science and Medicine","0277-9536","1","Health Economics and Management","2014"
"INTERNATIONAL","BMJ Quality and safety (Original research)","1475-3898","2","Health Economics and Management","2014"
"INTERNATIONAL","European Journal of Health Economics","1439-3972","2","Health Economics and Management","2014"
"INTERNATIONAL","Health Policy","0168-8510","2","Health Economics and Management","2014"
"INTERNATIONAL","Health Services Research","0017-9124","2","Health Economics and Management","2014"
"INTERNATIONAL","International Journal of Health Care, Finance and Economics","1389-6563","2","Health Economics and Management","2014"
"INTERNATIONAL","Medical Decision Making","0272-989X","2","Health Economics and Management","2014"
"INTERNATIONAL","Milbank Memorial Fund Quarterly - The Milbank Quarterly","0887-378X","2","Health Economics and Management","2014"
"INTERNATIONAL","Pharmacoeconomics","1170-7690","2","Health Economics and Management","2014"
"INTERNATIONAL","Value in Health","1098-3015","2","Health Economics and Management","2014"
"INTERNATIONAL","American Journal of Medical Quality","1062-8606","3","Health Economics and Management","2014"
"INTERNATIONAL","BMC Health Services Research","1472-6963","3","Health Economics and Management","2014"
"INTERNATIONAL","Bulletin of the World Health Organization","0042-9686","3","Health Economics and Management","2014"
"INTERNATIONAL","European Journal of Public Health","1101-1262","3","Health Economics and Management","2014"
